X(m)	Mach	V(m/s)	P(Pa)	T(K)	Rho(kg/m3)	H	H2	O	O2	OH	HO2	H2O2	AR	H2O	Therm(1/s)
7.92E-07	0.44014209	404.36117	587363.05	1941.6403	1.002293	4.66E-09	0.021653514	8.83E-10	0.17179369	3.61E-07	9.20E-08	3.18E-11	0.80655231	3.40E-08	-342.85625
8.54E-07	0.44014207	404.36115	587363.06	1941.6402	1.0022931	5.17E-09	0.021653512	1.05E-09	0.17179365	3.87E-07	9.92E-08	3.70E-11	0.80655231	3.93E-08	-338.79503
9.16E-07	0.44014205	404.36112	587363.07	1941.6401	1.0022931	5.70E-09	0.021653509	1.23E-09	0.17179361	4.13E-07	1.06E-07	4.25E-11	0.80655231	4.50E-08	-334.79701
9.77E-07	0.44014204	404.3611	587363.08	1941.64	1.0022932	6.24E-09	0.021653506	1.43E-09	0.17179358	4.38E-07	1.14E-07	4.83E-11	0.80655231	5.11E-08	-330.86117
1.04E-06	0.44014202	404.36107	587363.09	1941.6399	1.0022932	6.81E-09	0.021653503	1.64E-09	0.17179354	4.63E-07	1.21E-07	5.46E-11	0.80655231	5.76E-08	-326.98655
1.10E-06	0.440142	404.36105	587363.1	1941.6398	1.0022933	7.40E-09	0.0216535	1.87E-09	0.1717935	4.87E-07	1.28E-07	6.12E-11	0.80655231	6.43E-08	-323.17216
1.16E-06	0.44014198	404.36102	587363.11	1941.6398	1.0022934	8.00E-09	0.021653497	2.13E-09	0.17179347	5.11E-07	1.35E-07	6.82E-11	0.80655231	7.15E-08	-319.41706
1.22E-06	0.44014197	404.361	587363.12	1941.6397	1.0022934	8.62E-09	0.021653494	2.40E-09	0.17179343	5.35E-07	1.42E-07	7.55E-11	0.80655231	7.90E-08	-315.72031
1.29E-06	0.44014195	404.36097	587363.13	1941.6396	1.0022935	9.26E-09	0.02165349	2.69E-09	0.1717934	5.59E-07	1.50E-07	8.33E-11	0.80655231	8.68E-08	-312.08098
1.41E-06	0.44014191	404.36093	587363.15	1941.6394	1.0022936	1.06E-08	0.021653484	3.33E-09	0.17179332	6.05E-07	1.64E-07	9.98E-11	0.80655231	1.03E-07	-304.97093
1.52E-06	0.44014188	404.36088	587363.16	1941.6393	1.0022937	1.18E-08	0.021653478	3.97E-09	0.17179326	6.46E-07	1.77E-07	1.16E-10	0.80655231	1.20E-07	-298.75926
1.63E-06	0.44014186	404.36084	587363.18	1941.6391	1.0022938	1.32E-08	0.021653472	4.69E-09	0.17179319	6.86E-07	1.90E-07	1.33E-10	0.80655231	1.37E-07	-292.71983
1.74E-06	0.44014183	404.3608	587363.2	1941.639	1.0022939	1.45E-08	0.021653466	5.48E-09	0.17179312	7.25E-07	2.03E-07	1.52E-10	0.80655231	1.55E-07	-286.84772
1.86E-06	0.4401418	404.36076	587363.21	1941.6389	1.002294	1.59E-08	0.02165346	6.34E-09	0.17179306	7.63E-07	2.16E-07	1.71E-10	0.80655231	1.74E-07	-281.13815
1.97E-06	0.44014177	404.36073	587363.23	1941.6387	1.0022941	1.74E-08	0.021653453	7.28E-09	0.17179299	8.01E-07	2.29E-07	1.92E-10	0.80655231	1.94E-07	-275.58644
2.08E-06	0.44014175	404.36069	587363.24	1941.6386	1.0022942	1.89E-08	0.021653447	8.29E-09	0.17179292	8.38E-07	2.42E-07	2.14E-10	0.80655231	2.15E-07	-270.18805
2.19E-06	0.44014172	404.36065	587363.26	1941.6385	1.0022943	2.05E-08	0.02165344	9.38E-09	0.17179286	8.73E-07	2.55E-07	2.37E-10	0.80655231	2.37E-07	-264.93857
